id,stock_code,product_code,manufacturing_date,expiry_date,initial_qty,remaining_qty,arrival_date,shelf_life,lead_time
44,BEV-SOF,44,2017-11-13,2018-05-12,583,0,2017-12-25,180.00,42.00
45,BEV-SOF,45,2017-12-08,2018-06-06,388,0,2018-01-19,180.00,42.00
46,BEV-SOF,46,2017-12-29,2018-06-27,147,0,2018-02-09,180.00,42.00
47,BEV-SOF,47,2018-01-07,2018-07-06,454,0,2018-02-18,180.00,42.00
48,BEV-SOF,48,2018-01-29,2018-07-28,283,0,2018-03-12,180.00,42.00
49,BEV-SOF,49,2018-02-16,2018-08-15,209,0,2018-03-30,180.00,42.00
50,BEV-SOF,50,2018-03-07,2018-09-03,337,0,2018-04-18,180.00,42.00
51,BEV-SOF,51,2018-03-20,2018-09-16,364,0,2018-05-01,180.00,42.00
52,BEV-SOF,52,2018-04-13,2018-10-10,310,0,2018-05-25,180.00,42.00
53,BEV-SOF,53,2018-04-29,2018-10-26,245,0,2018-06-10,180.00,42.00
54,BEV-SOF,54,2018-05-12,2018-11-08,615,0,2018-06-23,180.00,42.00
55,BEV-SOF,55,2018-06-03,2018-11-30,144,0,2018-07-15,180.00,42.00
56,BEV-SOF,56,2018-06-18,2018-12-15,554,0,2018-07-30,180.00,42.00
57,BEV-SOF,57,2018-07-13,2019-01-09,319,0,2018-08-24,180.00,42.00
58,BEV-SOF,58,2018-08-05,2019-02-01,522,0,2018-09-16,180.00,42.00
59,BEV-SOF,59,2018-08-20,2019-02-16,398,0,2018-10-01,180.00,42.00
60,BEV-SOF,60,2018-09-06,2019-03-05,374,0,2018-10-18,180.00,42.00
61,BEV-SOF,61,2018-09-17,2019-03-16,311,0,2018-10-29,180.00,42.00
62,BEV-SOF,62,2018-10-07,2019-04-05,258,0,2018-11-18,180.00,42.00
63,BEV-SOF,63,2018-10-15,2019-04-13,495,0,2018-11-26,180.00,42.00
64,BEV-SOF,64,2018-11-06,2019-05-05,411,0,2018-12-18,180.00,42.00
65,BEV-HEA,1,2014-09-26,2015-09-26,72,0,2015-01-03,0.00,0.00
66,BEV-HEA,2,2014-12-12,2015-12-12,14,0,2015-03-21,365.00,99.00
67,BEV-HEA,3,2014-12-26,2015-12-26,60,0,2015-04-04,365.00,99.00
68,BEV-HEA,4,2015-01-31,2016-01-31,20,0,2015-05-10,365.00,99.00
69,BEV-HEA,5,2015-03-06,2016-03-05,36,0,2015-06-13,365.00,99.00
70,BEV-HEA,6,2015-04-02,2016-04-01,37,0,2015-07-10,365.00,99.00
71,BEV-HEA,7,2015-05-04,2016-05-03,52,0,2015-08-11,365.00,99.00
72,BEV-HEA,8,2015-06-14,2016-06-13,39,0,2015-09-21,365.00,99.00
73,BEV-HEA,9,2015-07-18,2016-07-17,34,0,2015-10-25,365.00,99.00
74,BEV-HEA,10,2015-08-16,2016-08-15,72,0,2015-11-23,365.00,99.00
75,BEV-HEA,11,2015-09-19,2016-09-18,11,0,2015-12-27,365.00,99.00
76,BEV-HEA,12,2015-11-08,2016-11-07,40,0,2016-02-15,365.00,99.00
77,BEV-HEA,13,2015-12-23,2016-12-22,26,0,2016-03-31,365.00,99.00
78,BEV-HEA,14,2016-01-29,2017-01-28,48,0,2016-05-07,365.00,99.00
79,BEV-HEA,15,2016-02-28,2017-02-27,8,0,2016-06-06,365.00,99.00
80,BEV-HEA,16,2016-03-28,2017-03-28,36,0,2016-07-05,365.00,99.00
81,BEV-HEA,17,2016-04-19,2017-04-19,31,0,2016-07-27,365.00,99.00
82,BEV-HEA,18,2016-05-16,2017-05-16,26,0,2016-08-23,365.00,99.00
83,BEV-HEA,19,2016-06-06,2017-06-06,30,0,2016-09-13,365.00,99.00
84,BEV-HEA,20,2016-07-23,2017-07-23,34,0,2016-10-30,365.00,99.00
85,BEV-HEA,21,2016-08-16,2017-08-16,50,0,2016-11-23,365.00,99.00
86,BEV-HEA,22,2016-09-17,2017-09-17,23,0,2016-12-25,365.00,99.00
87,BEV-HEA,23,2016-10-10,2017-10-10,29,0,2017-01-17,365.00,99.00
88,BEV-HEA,24,2016-11-14,2017-11-14,52,0,2017-02-21,365.00,99.00
89,BEV-HEA,25,2017-01-04,2018-01-04,31,0,2017-04-13,365.00,99.00
90,BEV-HEA,26,2017-02-06,2018-02-06,34,0,2017-05-16,365.00,99.00
91,BEV-HEA,27,2017-02-25,2018-02-25,37,0,2017-06-04,365.00,99.00
92,BEV-HEA,28,2017-03-14,2018-03-14,51,0,2017-06-21,365.00,99.00
93,BEV-HEA,29,2017-04-17,2018-04-17,29,0,2017-07-25,365.00,99.00
94,BEV-HEA,30,2017-05-09,2018-05-09,44,0,2017-08-16,365.00,99.00
95,BEV-HEA,31,2017-06-12,2018-06-12,38,0,2017-09-19,365.00,99.00
96,BEV-HEA,32,2017-07-05,2018-07-05,27,0,2017-10-12,365.00,99.00
97,BEV-HEA,33,2017-07-24,2018-07-24,67,0,2017-10-31,365.00,99.00
98,BEV-HEA,34,2017-08-26,2018-08-26,19,0,2017-12-03,365.00,99.00
99,BEV-HEA,35,2017-09-13,2018-09-13,73,0,2017-12-21,365.00,99.00
100,BEV-HEA,36,2017-10-29,2018-10-29,29,0,2018-02-05,365.00,99.00
101,BEV-HEA,37,2017-11-11,2018-11-11,92,0,2018-02-18,365.00,99.00
102,BEV-HEA,38,2018-01-07,2019-01-07,2,0,2018-04-16,365.00,99.00
103,BEV-HEA,39,2018-02-05,2019-02-05,37,0,2018-05-15,365.00,99.00
104,BEV-HEA,40,2018-02-22,2019-02-22,48,0,2018-06-01,365.00,99.00
105,BEV-HEA,41,2018-03-30,2019-03-30,26,0,2018-07-07,365.00,99.00
106,BEV-HEA,42,2018-04-17,2019-04-17,39,0,2018-07-25,365.00,99.00
107,BEV-HEA,43,2018-05-06,2019-05-06,23,0,2018-08-13,365.00,99.00
108,BEV-HEA,44,2018-05-17,2019-05-17,103,0,2018-08-24,365.00,99.00
109,BEV-HEA,45,2018-06-29,2019-06-29,49,0,2018-10-06,365.00,99.00
110,BEV-HEA,46,2018-07-28,2019-07-28,26,0,2018-11-04,365.00,99.00
111,BEV-HEA,47,2018-08-13,2019-08-13,58,0,2018-11-20,365.00,99.00
112,BEV-HEA,48,2018-08-30,2019-08-30,26,0,2018-12-07,365.00,99.00
113,BEV-HEA,49,2018-09-17,2019-09-17,62,53,2018-12-25,365.00,99.00
114,OIL-SPI,1,2014-09-17,2016-03-10,60,0,2015-01-03,0.00,0.00
115,OIL-SPI,2,2014-10-26,2016-04-18,31,0,2015-02-11,540.00,108.00
116,OIL-SPI,3,2014-12-13,2016-06-05,37,0,2015-03-31,540.00,108.00
117,OIL-SPI,4,2015-02-10,2016-08-03,28,0,2015-05-29,540.00,108.00
118,OIL-SPI,5,2015-03-30,2016-09-20,38,0,2015-07-16,540.00,108.00
119,OIL-SPI,6,2015-04-27,2016-10-18,49,0,2015-08-13,540.00,108.00
120,OIL-SPI,7,2015-05-31,2016-11-21,30,0,2015-09-16,540.00,108.00
121,OIL-SPI,8,2015-06-20,2016-12-11,61,0,2015-10-06,540.00,108.00
122,OIL-SPI,9,2015-09-10,2017-03-03,43,0,2015-12-27,540.00,108.00
123,OIL-SPI,10,2015-11-25,2017-05-18,38,0,2016-03-12,540.00,108.00
124,OIL-SPI,11,2016-01-23,2017-07-16,25,0,2016-05-10,540.00,108.00
125,OIL-SPI,12,2016-02-20,2017-08-13,57,0,2016-06-07,540.00,108.00
126,OIL-SPI,13,2016-05-02,2017-10-24,37,0,2016-08-18,540.00,108.00
127,OIL-SPI,14,2016-06-15,2017-12-07,33,0,2016-10-01,540.00,108.00
128,OIL-SPI,15,2016-08-11,2018-02-02,29,0,2016-11-27,540.00,108.00
129,OIL-SPI,16,2016-09-09,2018-03-03,41,0,2016-12-26,540.00,108.00
130,OIL-SPI,17,2016-10-29,2018-04-22,17,0,2017-02-14,540.00,108.00
131,OIL-SPI,18,2016-12-01,2018-05-25,56,0,2017-03-19,540.00,108.00
132,OIL-SPI,19,2017-01-30,2018-07-24,38,0,2017-05-18,540.00,108.00
133,OIL-SPI,20,2017-03-07,2018-08-29,34,0,2017-06-23,540.00,108.00
134,OIL-SPI,21,2017-04-11,2018-10-03,49,0,2017-07-28,540.00,108.00
135,OIL-SPI,22,2017-06-08,2018-11-30,27,0,2017-09-24,540.00,108.00
136,OIL-SPI,23,2017-07-02,2018-12-24,73,0,2017-10-18,540.00,108.00
137,OIL-SPI,24,2017-08-10,2019-02-01,33,0,2017-11-26,540.00,108.00
138,OIL-SPI,25,2017-09-08,2019-03-02,92,0,2017-12-25,540.00,108.00
139,OIL-SPI,26,2017-11-21,2019-05-15,25,0,2018-03-09,540.00,108.00
140,OIL-SPI,27,2017-12-13,2019-06-06,42,0,2018-03-31,540.00,108.00
141,OIL-SPI,28,2018-01-12,2019-07-06,55,0,2018-04-30,540.00,108.00
142,OIL-SPI,29,2018-02-15,2019-08-09,44,0,2018-06-03,540.00,108.00
143,OIL-SPI,30,2018-04-03,2019-09-25,30,0,2018-07-20,540.00,108.00
144,OIL-SPI,31,2018-04-28,2019-10-20,50,0,2018-08-14,540.00,108.00
145,OIL-SPI,32,2018-06-09,2019-12-01,50,0,2018-09-25,540.00,108.00
146,OIL-SPI,33,2018-07-28,2020-01-19,35,0,2018-11-13,540.00,108.00
147,OIL-SPI,34,2018-08-17,2020-02-08,69,47,2018-12-03,540.00,108.00
148,OIL-EDI,1,2014-10-30,2015-10-30,132,0,2015-01-03,0.00,0.00
149,OIL-EDI,2,2015-01-15,2016-01-15,96,0,2015-03-21,365.00,65.00
150,OIL-EDI,3,2015-03-14,2016-03-13,90,0,2015-05-18,365.00,65.00
151,OIL-EDI,4,2015-05-09,2016-05-08,87,0,2015-07-13,365.00,65.00
152,OIL-EDI,5,2015-06-07,2016-06-06,120,0,2015-08-11,365.00,65.00
153,OIL-EDI,6,2015-07-29,2016-07-28,87,0,2015-10-02,365.00,65.00
154,OIL-EDI,7,2015-09-18,2016-09-17,87,0,2015-11-22,365.00,65.00
155,OIL-EDI,8,2015-10-10,2016-10-09,67,0,2015-12-14,365.00,65.00
156,OIL-EDI,9,2015-10-26,2016-10-25,170,0,2015-12-30,365.00,65.00
157,OIL-EDI,10,2015-12-26,2016-12-25,96,0,2016-02-29,365.00,65.00
158,OIL-EDI,11,2016-02-28,2017-02-27,101,0,2016-05-03,365.00,65.00
159,OIL-EDI,12,2016-04-03,2017-04-03,78,0,2016-06-07,365.00,65.00
160,OIL-EDI,13,2016-06-09,2017-06-09,69,0,2016-08-13,365.00,65.00
161,OIL-EDI,14,2016-07-18,2017-07-18,129,0,2016-09-21,365.00,65.00
162,OIL-EDI,15,2016-08-21,2017-08-21,110,0,2016-10-25,365.00,65.00
163,OIL-EDI,16,2016-09-26,2017-09-26,75,0,2016-11-30,365.00,65.00
164,OIL-EDI,17,2016-11-10,2017-11-10,80,0,2017-01-14,365.00,65.00
165,OIL-EDI,18,2016-12-04,2017-12-04,118,0,2017-02-07,365.00,65.00
166,OIL-EDI,19,2016-12-31,2017-12-31,130,0,2017-03-06,365.00,65.00
167,OIL-EDI,20,2017-02-10,2018-02-10,28,0,2017-04-16,365.00,65.00
168,OIL-EDI,21,2017-03-12,2018-03-12,153,0,2017-05-16,365.00,65.00
169,OIL-EDI,22,2017-04-29,2018-04-29,142,0,2017-07-03,365.00,65.00
170,OIL-EDI,23,2017-06-12,2018-06-12,59,0,2017-08-16,365.00,65.00
171,OIL-EDI,24,2017-07-27,2018-07-27,160,0,2017-09-30,365.00,65.00
172,OIL-EDI,25,2017-08-30,2018-08-30,86,0,2017-11-03,365.00,65.00
173,OIL-EDI,26,2017-09-28,2018-09-28,115,0,2017-12-02,365.00,65.00
174,OIL-EDI,27,2017-10-26,2018-10-26,107,0,2017-12-30,365.00,65.00
175,OIL-EDI,28,2017-11-17,2018-11-17,120,0,2018-01-21,365.00,65.00
176,OIL-EDI,29,2017-12-16,2018-12-16,137,0,2018-02-19,365.00,65.00
177,OIL-EDI,30,2018-02-01,2019-02-01,118,0,2018-04-07,365.00,65.00
178,OIL-EDI,31,2018-03-14,2019-03-14,103,0,2018-05-18,365.00,65.00
179,OIL-EDI,32,2018-04-19,2019-04-19,89,0,2018-06-23,365.00,65.00
180,OIL-EDI,33,2018-05-24,2019-05-24,51,0,2018-07-28,365.00,65.00
181,OIL-EDI,34,2018-06-25,2019-06-25,83,0,2018-08-29,365.00,65.00
182,OIL-EDI,35,2018-07-16,2019-07-16,109,0,2018-09-19,365.00,65.00
183,OIL-EDI,36,2018-09-09,2019-09-09,75,0,2018-11-13,365.00,65.00
184,OIL-EDI,37,2018-09-23,2019-09-23,132,0,2018-11-27,365.00,65.00
185,OIL-EDI,38,2018-10-14,2019-10-14,122,70,2018-12-18,365.00,65.00
186,FRU-FRE,1,2015-01-02,2015-01-07,183,0,2015-01-03,0.00,0.00
187,FRU-FRE,2,2015-01-07,2015-01-12,61,0,2015-01-08,5.00,1.00
188,FRU-FRE,3,2015-01-16,2015-01-21,156,0,2015-01-17,5.00,1.00
189,FRU-FRE,4,2015-01-24,2015-01-29,61,0,2015-01-25,5.00,1.00
190,FRU-FRE,5,2015-02-03,2015-02-08,128,0,2015-02-04,5.00,1.00
191,FRU-FRE,6,2015-02-10,2015-02-15,26,0,2015-02-11,5.00,1.00
192,FRU-FRE,7,2015-02-15,2015-02-20,100,0,2015-02-16,5.00,1.00
193,FRU-FRE,8,2015-02-24,2015-03-01,120,0,2015-02-25,5.00,1.00
194,FRU-FRE,9,2015-03-05,2015-03-10,120,0,2015-03-06,5.00,1.00
195,FRU-FRE,10,2015-03-14,2015-03-19,87,0,2015-03-15,5.00,1.00
196,FRU-FRE,11,2015-03-22,2015-03-27,67,0,2015-03-23,5.00,1.00
197,FRU-FRE,12,2015-03-29,2015-04-03,96,0,2015-03-30,5.00,1.00
198,FRU-FRE,13,2015-04-03,2015-04-08,110,0,2015-04-04,5.00,1.00
199,FRU-FRE,14,2015-04-09,2015-04-14,17,0,2015-04-10,5.00,1.00
200,FRU-FRE,15,2015-04-15,2015-04-20,124,0,2015-04-16,5.00,1.00
201,FRU-FRE,16,2015-04-24,2015-04-29,96,0,2015-04-25,5.00,1.00
202,FRU-FRE,17,2015-05-03,2015-05-08,91,0,2015-05-04,5.00,1.00
203,FRU-FRE,18,2015-05-12,2015-05-17,67,0,2015-05-13,5.00,1.00
204,FRU-FRE,19,2015-05-17,2015-05-22,90,0,2015-05-18,5.00,1.00
205,FRU-FRE,20,2015-05-25,2015-05-30,33,0,2015-05-26,5.00,1.00
206,FRU-FRE,21,2015-05-30,2015-06-04,86,0,2015-05-31,5.00,1.00
207,FRU-FRE,22,2015-06-08,2015-06-13,79,0,2015-06-09,5.00,1.00
208,FRU-FRE,23,2015-06-14,2015-06-19,47,0,2015-06-15,5.00,1.00
209,FRU-FRE,24,2015-06-24,2015-06-29,105,0,2015-06-25,5.00,1.00
210,FRU-FRE,25,2015-07-01,2015-07-06,61,0,2015-07-02,5.00,1.00
211,FRU-FRE,26,2015-07-06,2015-07-11,72,0,2015-07-07,5.00,1.00
212,FRU-FRE,27,2015-07-15,2015-07-20,78,0,2015-07-16,5.00,1.00
213,FRU-FRE,28,2015-07-24,2015-07-29,85,0,2015-07-25,5.00,1.00
214,FRU-FRE,29,2015-07-29,2015-08-03,41,0,2015-07-30,5.00,1.00
215,FRU-FRE,30,2015-08-08,2015-08-13,96,0,2015-08-09,5.00,1.00
216,FRU-FRE,31,2015-08-13,2015-08-18,52,0,2015-08-14,5.00,1.00
217,FRU-FRE,32,2015-08-19,2015-08-24,52,0,2015-08-20,5.00,1.00
218,FRU-FRE,33,2015-08-28,2015-09-02,76,0,2015-08-29,5.00,1.00
219,FRU-FRE,34,2015-09-09,2015-09-14,54,0,2015-09-10,5.00,1.00
220,FRU-FRE,35,2015-09-16,2015-09-21,184,0,2015-09-17,5.00,1.00
221,FRU-FRE,36,2015-09-25,2015-09-30,105,0,2015-09-26,5.00,1.00
222,FRU-FRE,37,2015-10-03,2015-10-08,70,0,2015-10-04,5.00,1.00
223,FRU-FRE,38,2015-10-09,2015-10-14,61,0,2015-10-10,5.00,1.00
224,FRU-FRE,39,2015-10-14,2015-10-19,130,0,2015-10-15,5.00,1.00
225,FRU-FRE,40,2015-10-22,2015-10-27,80,0,2015-10-23,5.00,1.00
226,FRU-FRE,41,2015-10-31,2015-11-05,156,0,2015-11-01,5.00,1.00
227,FRU-FRE,42,2015-11-09,2015-11-14,114,0,2015-11-10,5.00,1.00
228,FRU-FRE,43,2015-11-18,2015-11-23,99,0,2015-11-19,5.00,1.00
229,FRU-FRE,44,2015-11-24,2015-11-29,6,0,2015-11-25,5.00,1.00
230,FRU-FRE,45,2015-12-02,2015-12-07,101,0,2015-12-03,5.00,1.00
231,FRU-FRE,46,2015-12-11,2015-12-16,78,0,2015-12-12,5.00,1.00
232,FRU-FRE,47,2015-12-16,2015-12-21,75,0,2015-12-17,5.00,1.00
233,FRU-FRE,48,2015-12-23,2015-12-28,51,0,2015-12-24,5.00,1.00
234,FRU-FRE,49,2015-12-31,2016-01-05,60,0,2016-01-01,5.00,1.00
235,FRU-FRE,50,2016-01-09,2016-01-14,124,0,2016-01-10,5.00,1.00
236,FRU-FRE,51,2016-01-14,2016-01-19,98,0,2016-01-15,5.00,1.00
237,FRU-FRE,52,2016-01-23,2016-01-28,151,0,2016-01-24,5.00,1.00
238,FRU-FRE,53,2016-02-01,2016-02-06,149,0,2016-02-02,5.00,1.00
239,FRU-FRE,54,2016-02-11,2016-02-16,141,0,2016-02-12,5.00,1.00
240,FRU-FRE,55,2016-02-19,2016-02-24,27,0,2016-02-20,5.00,1.00
241,FRU-FRE,56,2016-02-29,2016-03-05,125,0,2016-03-01,5.00,1.00
242,FRU-FRE,57,2016-03-09,2016-03-14,131,0,2016-03-10,5.00,1.00
243,FRU-FRE,58,2016-03-17,2016-03-22,32,0,2016-03-18,5.00,1.00
244,FRU-FRE,59,2016-03-23,2016-03-28,104,0,2016-03-24,5.00,1.00
245,FRU-FRE,60,2016-03-31,2016-04-05,75,0,2016-04-01,5.00,1.00
246,FRU-FRE,61,2016-04-09,2016-04-14,72,0,2016-04-10,5.00,1.00
247,FRU-FRE,62,2016-04-16,2016-04-21,42,0,2016-04-17,5.00,1.00
248,FRU-FRE,63,2016-04-21,2016-04-26,100,0,2016-04-22,5.00,1.00
249,FRU-FRE,64,2016-04-30,2016-05-05,103,0,2016-05-01,5.00,1.00
250,FRU-FRE,65,2016-05-10,2016-05-15,71,0,2016-05-11,5.00,1.00
251,FRU-FRE,66,2016-05-16,2016-05-21,30,0,2016-05-17,5.00,1.00
252,FRU-FRE,67,2016-05-25,2016-05-30,72,0,2016-05-26,5.00,1.00
253,FRU-FRE,68,2016-05-30,2016-06-04,22,0,2016-05-31,5.00,1.00
254,FRU-FRE,69,2016-06-04,2016-06-09,99,0,2016-06-05,5.00,1.00
255,FRU-FRE,70,2016-06-13,2016-06-18,114,0,2016-06-14,5.00,1.00
256,FRU-FRE,71,2016-06-22,2016-06-27,143,0,2016-06-23,5.00,1.00
257,FRU-FRE,72,2016-07-02,2016-07-07,91,0,2016-07-03,5.00,1.00
258,FRU-FRE,73,2016-07-12,2016-07-17,83,0,2016-07-13,5.00,1.00
259,FRU-FRE,74,2016-07-20,2016-07-25,55,0,2016-07-21,5.00,1.00
260,FRU-FRE,75,2016-07-29,2016-08-03,111,0,2016-07-30,5.00,1.00
261,FRU-FRE,76,2016-08-07,2016-08-12,103,0,2016-08-08,5.00,1.00
262,FRU-FRE,77,2016-08-12,2016-08-17,106,0,2016-08-13,5.00,1.00
263,FRU-FRE,78,2016-08-17,2016-08-22,127,0,2016-08-18,5.00,1.00
264,FRU-FRE,79,2016-08-26,2016-08-31,117,0,2016-08-27,5.00,1.00
265,FRU-FRE,80,2016-09-01,2016-09-06,92,0,2016-09-02,5.00,1.00
266,FRU-FRE,81,2016-09-10,2016-09-15,80,0,2016-09-11,5.00,1.00
267,FRU-FRE,82,2016-09-15,2016-09-20,49,0,2016-09-16,5.00,1.00
268,FRU-FRE,83,2016-09-21,2016-09-26,119,0,2016-09-22,5.00,1.00
269,FRU-FRE,84,2016-09-28,2016-10-03,17,0,2016-09-29,5.00,1.00
270,FRU-FRE,85,2016-10-07,2016-10-12,112,0,2016-10-08,5.00,1.00
271,FRU-FRE,86,2016-10-16,2016-10-21,107,0,2016-10-17,5.00,1.00
272,FRU-FRE,87,2016-10-26,2016-10-31,88,0,2016-10-27,5.00,1.00
273,FRU-FRE,88,2016-11-04,2016-11-09,65,0,2016-11-05,5.00,1.00
274,FRU-FRE,89,2016-11-11,2016-11-16,91,0,2016-11-12,5.00,1.00
275,FRU-FRE,90,2016-11-16,2016-11-21,86,0,2016-11-17,5.00,1.00
276,FRU-FRE,91,2016-11-21,2016-11-26,73,0,2016-11-22,5.00,1.00
277,FRU-FRE,92,2016-11-27,2016-12-02,115,0,2016-11-28,5.00,1.00
278,FRU-FRE,93,2016-12-02,2016-12-07,93,0,2016-12-03,5.00,1.00
279,FRU-FRE,94,2016-12-07,2016-12-12,50,0,2016-12-08,5.00,1.00
280,FRU-FRE,95,2016-12-14,2016-12-19,103,0,2016-12-15,5.00,1.00
281,FRU-FRE,96,2016-12-21,2016-12-26,32,0,2016-12-22,5.00,1.00
282,FRU-FRE,97,2016-12-26,2016-12-31,85,0,2016-12-27,5.00,1.00
283,FRU-FRE,98,2016-12-31,2017-01-05,232,0,2017-01-01,5.00,1.00
284,FRU-FRE,99,2017-01-09,2017-01-14,178,0,2017-01-10,5.00,1.00
285,FRU-FRE,100,2017-01-18,2017-01-23,117,0,2017-01-19,5.00,1.00
286,FRU-FRE,101,2017-01-27,2017-02-01,127,0,2017-01-28,5.00,1.00
287,FRU-FRE,102,2017-02-03,2017-02-08,115,0,2017-02-04,5.00,1.00
288,FRU-FRE,103,2017-02-09,2017-02-14,131,0,2017-02-10,5.00,1.00
289,FRU-FRE,104,2017-02-18,2017-02-23,190,0,2017-02-19,5.00,1.00
290,FRU-FRE,105,2017-02-27,2017-03-04,132,0,2017-02-28,5.00,1.00
291,FRU-FRE,106,2017-03-08,2017-03-13,117,0,2017-03-09,5.00,1.00
292,FRU-FRE,107,2017-03-13,2017-03-18,7,0,2017-03-14,5.00,1.00
293,FRU-FRE,108,2017-03-22,2017-03-27,81,0,2017-03-23,5.00,1.00
294,FRU-FRE,109,2017-03-30,2017-04-04,86,0,2017-03-31,5.00,1.00
295,FRU-FRE,110,2017-04-08,2017-04-13,142,0,2017-04-09,5.00,1.00
296,FRU-FRE,111,2017-04-13,2017-04-18,12,0,2017-04-14,5.00,1.00
297,FRU-FRE,112,2017-04-18,2017-04-23,154,0,2017-04-19,5.00,1.00
298,FRU-FRE,113,2017-04-25,2017-04-30,16,0,2017-04-26,5.00,1.00
299,FRU-FRE,114,2017-05-02,2017-05-07,113,0,2017-05-03,5.00,1.00
300,FRU-FRE,115,2017-05-09,2017-05-14,61,0,2017-05-10,5.00,1.00
301,FRU-FRE,116,2017-05-15,2017-05-20,126,0,2017-05-16,5.00,1.00
302,FRU-FRE,117,2017-05-23,2017-05-28,139,0,2017-05-24,5.00,1.00
303,FRU-FRE,118,2017-06-01,2017-06-06,65,0,2017-06-02,5.00,1.00
304,FRU-FRE,119,2017-06-07,2017-06-12,76,0,2017-06-08,5.00,1.00
305,FRU-FRE,120,2017-06-16,2017-06-21,79,0,2017-06-17,5.00,1.00
306,FRU-FRE,121,2017-06-21,2017-06-26,46,0,2017-06-22,5.00,1.00
307,FRU-FRE,122,2017-06-30,2017-07-05,79,0,2017-07-01,5.00,1.00
308,FRU-FRE,123,2017-07-09,2017-07-14,76,0,2017-07-10,5.00,1.00
